"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5079","Skip tutorial","","Tue May 20 20:49:07 GMT-03:00 2025","passed","Tue May 20 20:49:12 GMT-03:00 2025","","Delete notes","",""
"","34771","add note, save changes & selete","","Tue May 20 20:49:12 GMT-03:00 2025","passed","Tue May 20 20:49:47 GMT-03:00 2025","","Delete notes","",""
